Bahnaric,Vietnamese
pơđĭ,kết luận
pơđĭ,lĩnh
pơđĭ,xuyến
pơđŏu,trò chuyện
yang rơnê̆,quỉ
pơđơ`m,trắm
lêh lêm,quỉ
kơ,quốc
teh,quốc
pơđơ̆k,học
tek,quốc
the,quốc
pơđơ̆m,trắm
đak,quốc
pơƀrơih,hại người
pơ̆,cựa
pơ̆,quậy
pơ̆,đậy
char,quốc
deh,quốc
pơ̆h,bảy
dêh,quốc
pơ̆k,chòi
hla,quốc
pơ̆m,làm
pơ̆n,quàng
pơ̆ng,đóng nêm
pơ̆ng,đục
pơ̆ng kơ đĭnh,đóng đinh
pơịrot,thi đua
pưl,hói
pưl,trọc
hơdrĕch,quốc
pỗ,kết
pỡ,đậy
pỡxư̆,lưu truyền
pợtrêu pơtrao,thưa 
pữlpăl,rối
qui,quy
ra,biệt
trong,quốc
ra,góp
kuô̆c,quốc
ra,quyên góp
ra jên,góp
kuô̆k,quốc
rah,mình
rah,tiêu
rah,tự mọc
tĕh,quốc
rah rỉng,theo nhịp điệu
rai,cẩng
teb'đak,quốc gia
rai ie` ie`ch,càng ít
rai iĕ iĕch,càng ít
rak,tái
rak muh măt,tái mặt
ram,tồi
rang,láng
kôpal,quốc gia
kơpal the đak,quốc gia
wĕi teh đak,quốc phòng
rang,óng
wĕi the đak,quốc phòng
re,am
kuôc phong,quốc phòng
re,thanh
re,âm
bơnat,quý
mơnat,quý
re pơ ayoi,ngân
re pơ ayoi,ngân vang
re`i,bón
gi`t,quý
re`o,cái gùi
rec,cà răng
reh,bỉ
găl,quý
reh,gẩy
reh,rẻ
reh,sàng
gĭt,quý
jên,quỹ
reh anhŏng têch kŏreh dêh,rẻ
rei,gieo
rei,xạ
lêm,quỷ
rek,cắt
bri,quỷ
kuy chuân,quy chuẩn
rek hla ar,cắt giấy
rel,thanh
reng,cái
reng,rui nhà
reng,trăm
reng,từ từ
reng reh,thêu
reng yak,bước  từ từ
reng yak,bước từ từ
reo,cái
reo,cái gùi
reo,gùi
ret,cưa
ret,cắt
ret hla ar,căt giấy
rhan,nguyện
rhei,đám
tơdrong,quy mô
ayăt,quyền
ri,ri
rim,mọi
rim pơgê,mỗi buổi sáng
rim rôm,gầm
ring rông,rất độc
iŏk,quyền
ro ̆ l,xay
ro ̆ l anhe ̆m,xay thịt
ro`,diệu
jang,quyền
mơ,quyền
roch,mổ
roch,tẻ
roi,báo
yua,quyền
roi,con ruồi
roi,dự
kueân,quyền
roi,kê
roi,lể
roi,phán
roi,phân
kuiên,quyền
roi,thể
roi,tin
roi,ép
roi,đi
roi giông,chuyện cổ tích
roi h'mon hyĕt,truyện cười
kuyên,quyền
roi khan đĕi bơngai lôch,cáo phó
roi khan đẽi bơngai lôch,cáo phó
roi rơ đah,phân tích
roi tơ băt,thông báo
kuyên,quyền
roi tơbăt,báo
roi đĕi bơngai loch,báo tang
roi đĕi bơngai lôch,báo tang
roi đĕi bơngai lôch,báo tử
rok,bắt chước
rok,theo lối
rok,theo lốì
romeh,sinh
kuên,quyền
quyên,quyền
rorte ̆n rơte ̆n,lăn tăn
rortĕn,lăn
ruh,tưới
chơhnong,rạ
rum,rum
anong,rạ
rup,bức
rup,bức tranh
hmong,rạ
chrai,rác
tơglỡk tơglăk,rác
rơ̆n,rác
rup,sĩ
'duih,rác rến
chok,rạch
chong kro,rạch
chrĕk,rạch
grech,rạch
grek,rạch
jih,rạch
mưngđak,rạch
thong,rạch
rêng,ngưởng
thong dak ro,rạch
rô,rô
rông,cào
thong kro,rạch
rôp,băt
rôp,nã
rôt,rốt
rõ,hùng
rõ lăng,chắc
rõl,xay
ră,câu
hpong chor,rạch
hơ bong iĕ,rạch
hơbong đak,rạch
ră rĕl,đầu bạc răng long 
răk,giữ gìn
răk,phê
răk,toàn
răm,bại
răm,bị chết
răm,chết
răm,dở
răm,hư
răm,hạ
răm,hại
răm,hỏng
răm,ngã
răm,sĩ
răm,tệ
răm leh,khan khổ 
răn,giũa
răng,thủ
hơbong đak tih,rạch
răp,phục
răt,mua
rđmet,dọn dẹp 
rĕch,gặt
rĕch,sẻ
chloh,rạch
chơ điêng,rạch
rĕi,bón
rĕi,gieo
rĕi,sạ
phay,rái cá
rĕk,rưởi
rĕn,gặm
phĕi,rái cá
khĕi pơnil,rằm
rĕng,ngăm đen
rĕng,ngắm
rĕo,cái bồ
rĕo,gùi
rĕu,gùi
rĕu dung dŭt,cái bồ
rĕy,xạ
rĭ,nhích
rĭh kơ pơma,không nói
rŏ,chắc
rŏ,có
rŏ,diệu
rŏ,hùng
rŏ,lẫy
rŏ,nga
pơnil,rằm
rŏ lăng,chắc
rŏh,chặt
rŏl,nghiền
rŏl,xay
pơnêl,rằm
anat,rậm
rŭh,tưới
rŭng,rối bù
rŭng,rốì bù
rơ,cái rựa
hơmôi,rậm
hơmôl,rậm
rơ,hạnh
it,rậm
rơ,sạch
xeh,rậm
rơng,rậm
ơp,rậm
rơ,óng
srồk,rân
rơ,đun
rơ goh,sạch
rơ hgĕo,eo
rơ hơi,lỏng
'bih,rắn
rơ mlo,câm
bih,rắn
tăr,rắn
rơ mo to no,bò đực
rơ mo yong,bò cái
rơ mo yŏng,bò cái
rơ moăn,mềm
rơ muăn,mềm
rơ nô pơ kao,trổ hoa
rơ nĕh,đẻ
rơ ruh,lạy
bĭh,rắn
rơ rưih,nhám
ang,rạn
rơ tơgloh,rựa sút cán
rơ uơ,cày
rơ uơ chŭn,cày ruộng
rơ uơ khir,cày bừa
rơ xa,gừng
rơ ya,gừng
rơ'bơh,vụng về 
rơ'lêp rơ'lap,dẹp
rơba,băm
rơbot,học
rơboŭ,ngàn
rơbâu,nghìn
rơbõu,ngàn
rơbăt,nở
rơbŏu,nghìn
rơbŏu,ngàn
rơbưn,dây kõm
chrăn,rạn
pơlống,rắn lục
'bih ka,rắn nước
rơdu,ngớp
rơdu,ngớt
rơdu,tồn
rơdơ̆,êm đềm
rơgah,mỏi
rơgiĕo,phát thanh
hnĕng,răng
hơ nĕng,răng
hơnăng,răng
rơgoh,vệ sinh
rơgoh,vộ sinh
rơgoh 'byao,sạch sành sanh
rơgoh 'lơ̆ng,sạch sành sanh
hơnĕng,răng
rơgĕi,giỏi
rơgĕi,hay
rơgĕi,hóa
rơgĕi,khéo
hơrĕng,răng
rơgĕi,năng
rơgĕi,thức
lek,răng
rơgŏh,sạch
rơgẽi,giỏi
rơgẽi,khéo
nĕng,răng
rơh,rĕ
rơh,rỗ
sơnĕng,răng
rơhau,hoạt bát
rơhau,vâ
rơhau,vã
rơheng,hoang
rơheng,yên
rơheng,yên lặng
rơheng,yên tĩnh
rơhing,thèm
rơhiĕu,eo lưng
rơhiẽu,eo lưng
rơhngâm,thuận
rơhngơp,mát
rơho`,vắng
rơhoh,cửa bỏ ngỏ
rơhong,tươi
rơhui,man
rơhui,tanh
sơnĕnh,răng
rơhău,hoà nhã
rơhău,hòa nhã
rơhău,niềm
rơhŏ,vắng
rơhŏi,tĩnh
rơhơi,lỏng
đak muh,răng
rơhơi,rộng
rơhơi,rộng rãi
rơhẽl rơhỡl,chặt đứt từng khúc ngắn 
rơhẽnh kơne xa 'bum 'bỉang,vết cắn 
rơih,bầu
rơih,chọn
rơih,lựa chọn
bơnĕng,răng
rơka,thương
rơka,vết sẹo
rơkah,dư dật
rơkah,ê
rơkai,dư dật
rơkai,hề
rơkuơ̆l,đặc
rơlăng,mừng chiến thắng 
hnenh,răng
hơ nenh,răng
rơmeh,sinh
rơmuăn,ru
rơmuŏn,mềm
rơmân,dẻo
rơmơt,êm dịu
rơmơ̆n,yếu sức
hơ nĕnh,răng
hơnenh,răng
rơmư̆,dạ trường
rơmư̆,dạ ưường
rơmư̆,nhau thai
hơnĕnh,răng
sơnẽnh,răng
sơnanh,răng
sun,rặng
rơneh,sinh
rơneh,sinh ra
'ngir,ranh
trong,rãnh
rơnga,mè đen
rơnga,vừng đen
rơngai,hòa bình
rơnge,yên
rơnge`i,hoa bình
rơngei,hòa bình
rơngo ̆ u,vừng trắng
rơngot,buồn nhớ
rơngot,buồn nlìd
rơngâp,mát
rơngĕi,hoa bình
rơngĕi,hoà hình
rơngĕi,hòa bình
rơngĕi,yên ổn
rơngĕnh,say ngà ngà
rơngŏu,mè trắng
rơngŏu,vừng trắng
rơngơp,bớt đau
rơngơp,dịu
thong,rãnh
rơngơp,êm dịu
rơngơ̆t,thu
rơnhong,cao
rơnhong,gầy guộc
rơnhău,tấp nập
mương,rãnh
rơnok,tàn thuôc
rơnok,tàn thuốc
rơnu`k,bình yên
trong thoat đak,rãnh
chơkăng,ranh giới
rơnôp,búp
rơnŭk,bình yên
rơnŭk,hòa
rơnŭng,con lươn
tơkăng,ranh giới
adral,ranh giới
bơgal,rào
drong,rào
rơpang,khổ quá
rơpen,áo lửng
kơdrum,rào
rơri ̆ r,xúc động
rơrinh,run
pơgal,rào
rơrĭr,xúc động
rơtah,con đỉa
rơtah,con ếch
hngach,rào
rơtĕn,tăn
pru,rào
rơuơ,cày
rơve`t,đói
rơvĕn,lăn
rơvĕt,đói
rơvơ ̆ ng,vắng vẻ
rơvơn,rảnh rỗi
rơvơ̆n,rảnh rỗi
rơvơ̆ng,vắng tanh
rơvơ̆ng,vắng vẻ
rơvẽt,đói
rơya,gừng
rơyŭ,mã la
war,rào
rơđah,ràng
rơđah,suốt
rơđah,tích
rơđoh,bì
ing,rạp
yơ̆p,rạp
rơ̆,đun
agâu,rau
bong,rau
gõ,rau
rơ̆ng,gả
rơ̆ng kon drŏ kăn,gả con gái
rơ̆ng ăn drŏ nglo,gả chồng
rưa,cái rựa
rưa,dựa
rẽi,gieo
rởng,gả
hla,rau
rỡ,đun
rỡng,gả
rỡng kon drõ kăn,gả con gái
rỡng ăn drõ nglo,gả chồng
sa,cháy
hla ' nhĕt,rau
hla 'nhem,rau
hla 'nhet,rau
sa,rồng
sa,sống
sa,thờ
sa,xử
sa,ăn chiều
sa,ăn sáng
sa,ăn trưa
hla 'nhĕt,rau
sa,ẳn
sa,ở
sa 'nar dơ̆ng,ăn trưa
sa 'năr dơ̆ng,ăn trưa
sa anăr dâng,ăn trưa
sa bơlŭk,ăn  quá nhiều
sa bơlŭk,ăn quá nhiều
sa chă mơ drong,ăn mày
sa mŏk,cúng nhập kho
sa pơ ghe,ăn sáng
sa săi,ăn ít đg
sa`i,bón
sach,nạc
hla'long,rau
sah,xanh xao
hu,rau
sak,len
sal,dây bẩn
phalăng,rau
sap,rộng
anho`t,rau
sat,sát
sau drŏ glo,cháu trai
sau drŏ kăn,cháu gái
saw,rộng
sdđg,lâu dài
anhot,rau
se,con tép
se,cặn
anhŏt,rau
hla 'long,rau
hla nhem,rau
seh,cào cỏ
sek,xét
sek,xử
sek tơlang,xử
sem,chào
sem,chăn
sem,con chim
sŏk kang,râu
sem,súc
sŏk miêm,râu
sem,trí
xŏk kang,râu
xơk kang,râu
xơ̆k kang,râu
sem bô,chim cú mèo
sem grơ̆,chim kền kền
sem grơ̆,chim đại bàng
đak,râu
sem pơlie`u,chim chào mào
sem pơliĕu,chim chào mào
sok,râu
hla xơ bey,rau cải
sempũng,con dơi
hơ'bey,rau cải
seo,tích
ser,xử
she,cào cỏ
anhot hla bei,rau cải
anhot hla sơ 'bĕi,rau cải
anhot hla sơbĕi,rau cải
si,hót
si,nải
si so,con bọ chét
si ̆ n,xê
si ̆ n,xích
hrŭm,rau dền
si`t,hiệu nghiệm
hla hrum,rau dền
hla lŭng hŭng,rau húng
sih,ngăn
sih,ngắn
sih,nải
hla klah ka,rau má
sik,rượu ghè
sim,con ngan
sim,con vịt xiêm
sim,ngan
simel,nhòm
hla klak ka,rau má
sip,tấm bia
sir,dào
so,cũ
so,cŭ
hla kơ ka,rau má
so,cổ xưa
so,mòn
so,ngôn
so,sói
so,sơ
so,tử
so,đánh
hla muh nhŭng,rau má
so ̆,xới
so ̆  mơh,xới cơm
so ̆  por,xới cơm
so ̆ k ie ̆r,lông gà
so ̆ k sop,lông chân
so ̆ k sop,lông tay
anhot hla kơ nuăn,rau muống
so'bĕi,cải
anhot kơ nuăn,rau muống
hla kơ nuan,rau muống
soai,say
soang,hoá
soang,múa
gơxơ̆m,rau răm
soang,vũ
sob`e`i,cải
soch,rãi
kơxơ̆m,rau răm
soh,sai
soh along ünh,đốt củi
soh along ŭnh,đốt củi
soh pôi bruih brăm,đốt rác
hla grê,rau tàu bay
soi,cúng
hla mâu phu,rau thơm
soi,sinh
soi,thờ
soi sơmah,cúng
sok,giã
hla mơ̆u phu,rau thơm
'nhot bou phu,rau thơm
ngo,rau thơm
sol,cúng
song,chia
song,hoạch
song,kính
song,phân
song,truy
mir,rẫy
song,ẳn
mir kông,rẫy
na,rẫy
sor,xo
sot,lâu dài
nar,rẫy
na ,rẫy
sot,ỏi
reh,rễ
riêh,rễ
spo,cúng
rơh,rễ
rơhreh,rễ
rễh,rễ
su,đắp
su,đẻ
su`ng,hun
su`ng,hút
ŏng,rễ
rơ̆h,rễ
suai et tơdrô,say rượu
suang rơmuăn,múa mềm mại
suang rơmuăn,múa uyển chuyển
suaị,say
suek,bực mình
suek,kịt
kơnon,rể
suek,xì
suek,đen tối
pơsau,rể
suet,đen nhạt
suet,đủi
suit,thui
ŏng,rể
sung rơ hơi,riu lòng
sung rơ hơi,rìu lỏng
sut,ong mật
sut,xoá
sut kơ'bang găm,chùi bảng
suăn,lên cao
suĕng,nhọn
suĕng nhơ nhuĕh,nhọn hoắt
sáng,cái
sâl,bấc
sâl,bối
sâl,lúng
sân,kiên nhẫn
dăm,rể
oh,rể
sãi,tát
pơsau ,rể
nhơng,rễ phụ
sŏk miêm,ria
sêh,phàm
jih,rìa
sêng,cái nong
sêng,ngất
rai,rim
sôch,đốt
grang,rổ
sôm,cái quần
huang,roi
sõ,múc
püt pũt,roi
rơnguẽt,roi
sõng,ăn
să,mênh
să,rất
sơnguĕt,roi
să dih dăng,rộng nhất
să đĭ đăng,rộng nhất
săi,tát
săi,ít
săk,móc
săk,đan
săng kep,kéo
hơnong,rơm
klŏk,rốn
klok,rốn
rơna,rong rêu
kop,rùa
kroa,rùa
sĕh,làm
tơgă,rựa
sĕm,với
tẽk,rựa
sĕt,xíu
sĕt,ít
bâk,rựa
sĩn,xích
sĩt,khâu
sĩt,khâu vá
rơ,rựa
tơgăk,rựa
sĭn,tới
sĭn,xê
sĭn,xích
sĭt,hiệu nghiệm
sĭt,khâu vá
sĭt,thêu
sĭt,vá
sŏ,múc
sŏ,xới
tơbưk,rựa
đơbưk,rựa
rơret,rùng
bri,rừng
dơdring,rừng
tap,rừng
tơ,rừng
along,rừng
bri brah,rừng
bri rŏh,rừng
sŏu drŏ kăn,cháu gái
sŏu drŏ nglo,cháu trai
sŏu frŏ nglo,cháu trai
sŭ,bắp cải
sŭng,hun
sŭng,hút
brih,rừng
pri,rừng
brio,rừng
sŭp nhem iĕr,phở gà
sŭp nhem nhũng,phở heo
sŭp nhem nhŭng,phở heo
sŭp nhem rơmo,phở   bò
sŭp nhem rơmo,phở bò
sŭt,chùi
sŭt,lau
ke,rừng
sơ 'ngon,buồn
sơ anăt dơ̆ng,ăn trưa
kơdrơ̆ng,rừng già
kơmrơ̆ng,rừng già
sơ nglŏng hla hơ puih,sao chổi
sơ ngon,buồn
rơng,rừng già
bri kră ,rừng già
sơ đong sem 'brih,bẫy thú rừng
sơ đong sem b`rih,bẫy thú rừng
bri kông,rừng núi
bri anat,rừng rậm
bri hơmôl,rừng rậm
sơ'bĕi,cải
sơ`n,bình tĩnh
roi,ruồi
sơangon,buồn
sơanhoi,rũ rượi
sơb`e`i,cải
jŏng,rướn cổ
sơbĕi,cải
sơk jơhngâm,ngẩn
sơkat,làm phép
sơke,heo rừng
bai,ruộng
sơkok,cái chiếu
sơkĕnh,trê
bal,ruộng
mir na,ruộng
sơl,kê
sơl mã kơjung,kê lên
sơl mă kơjung,kê lên
sơlah,ba
sơlah,tách
sơlah,tư
mir đak,ruộng
mŭ na,ruộng
na,ruộng
sơlam teh đak,biên thuỳ
sơlam teh đak,biên ải
nar,ruộng
sơleng,khó hiểu
chŭm,ruộng
chŭn,ruộng
mir,ruộng
sơlu`ng,"hô"""
bar ruông,ruộng
tơmăn,ruộng
klak,ruột
tơlak,ruột
hlŭng,ruột
klŏk,ruột
che,rượu
hơlăk,rượu
lŭk,rượu
sơdrô,rượu
xik,rượu
alăk,rượu
sơmaih,cầu cứu
sơmĕch,con muỗi
et,rượu
sơng,kheo
hơ lăk,rượu
sơng,tiếp
sơng,đón
sơngah,thề
sơngie ̆ o,lạnh buốt
sơngie ̆ u,lạnh
sơngiĕo,lạnh buốt
sơngiĕu,lạnh
sơnglŏng wŏng tar,sao mai
sik,rượu
sơnong,nhiệm
tơ drô,rượu
tơdro,rượu
tơdrô,rượu
jơrô ghe,rượu cần
sơdrô triêng,rượu cần
hơlăk,rượu trắng
sơđah,nứt
sơđong,bầy thòng lọng
sơđong,bẫy thòng lọng
alăk,rượu trắng
sơđơ̆ng,xuyến
sơđởng,xuyến
blăng,sả
sơƀĕi,cải
hla plăng,sả
hơplang,sả
sơ̆,kia
sơ̆,kĩ
hơplăng,sả
sơ̆,ngoái
sơ̆,sưa
sơ̆,trước
hơ plăng,sả
plăng,sả
plănh,sả
sơ̆k,phơi
sơ̆k anong 'ba,phơi rơm
sơ̆k anong ba,phơi rơm
sơ̆p,cuốn
sơ̆p,quyển
charchuơh,sa mạc
sư,anh ấy
sư,chị ấy
sư,họ
sư,no
sư,nó
hla ar,sách
sư,sãi
sư,ông ấy
sư bu,họ là ai
sương,ngan ngát
hla bar,sách
hla bar pơre,sách
kơxâp,sách
sỡ,cũ
sơ̆p hla bơ,sách
bơar,sách
tach,quất roi
tah,mặc
tah,đeo
tah băn ao,ăn mặc
tah lăm kơdung,bỏ túi
tah tai,ngồi thả thông chân
tah ti,đeo
tah wah,thắc mắc
hla bơar,sách
tai,đắng
taih,đánh
taih along ŏu glaih taih lôch,đánh
tak,độp
hơ ar,sách
tam mă,chưa
tam mă  đum,chưa chín
tam mă dang,dở dang
tam mă pơngot,chưa đói
tam mă đang,dở dang
tam mă đĕi,chưa có
tang,cái
tang,thay
tang,thí
liĕng,sách
tang,đóng
tang,đại
tanh,thêu
tanh,đan lát
tao,táo
tapă,thật
sach,sách
tat,cực
tat,khó
tat,khổ
tat,nghèo
tat,đắng
tdrong,tức
sơ̆p hla bơ-al,sách
te ̆ nh tơ o ̆ u,lại
te`nh,cấp
tech,bán
teh,chính
pot,sạch bách
plaih,sải
teh,non
plaih ti,sải
brỗ,sấm
teh,đu
teh,đánh
teh,đít
glaih,sấm
teh dong băl,đánh nhau
grơm,sấm
teh to`ng,đu
teh tŏng,đu
grơ̆m,sấm
grưm,sấm
grâm,sấm
grâm,sấm sét
hnam,sàn
jrah,sàn
teng,cái
teng,cạn
teng,gô
teng,gõ
jrnh,sàn
kơnhơ̆,sàn
teng brẽỉ,bên nhau
teng kơ cho`k,cạn li
teng kơ chŏk,cạn li
kơnhư̆,sàn
teo,dai
teo,dẻo
pra,sàn
tep,ngŭ
tep,sự ngủ
tơpên,sàn
thar,lại gần
thar,đi đến
thar,đến
akoh,sàn
the,đánh
the ̆ ng hreh,lặng im
theng,cài cò
theng,cái cò
theng hră,ná
thep,chắp vá
hơ,sàn
thim,kế
thim,thêm
thim,thêm vào
tho,dục
hơnă,sàn
pơtăm,sàn
thoi yơ,như thế nào
tơ̆r,sàn
cham,sân
jung kung,sân
thong đak,kinh
thu`ng,cái thùng
thua,bại
thung,vũng
măng cham,sân
thuơ,bại
dal,sân
'blang,sắn
'bum 'blang,sắn
bum 'blang,sắn
bum blang,sắn
thê̆,thế
thôi,thôi
thông,thôi
thông,đi quanh quẩn
thĕng,giữ im lặng
thĕng,im
thĕng,im lặng
thĕng,lặng
thĕng,yên
kumi,sắn
thĕng,ắng
blang,sắn
củ mỳ,sắn
kumi ,sắn
hnam,sản
hơnih,sản
thơ,lá thư
thơ thŭt thơ thăt,nườm nượp
lêk,sản
rơ,sản
thẽng,giữ im lặng
thẽng,im
thẽng,lặng
bơngai,sản
thẽng,ắng
thể`,thế
drăm,sản
ti,côi
kơdih,sản
ti,dài
ti,hun
lar,sản
ti,hút
ti,ngắn
ti,quyết
ti ̆ nh,làm toán
ti`t,dội
san,sản
tibăl,lộn
choh,sản
tih,cái
tih,dâng
pơm,sản
tih,lớn và cao
cham gre păr,sân bay
tih,thạo
tih,thế
tih,tạ
cham ngôi sok iĕr,sân chơi
tih hnam kơjung anhŏng tih dêh.,lớn
hnih hat xoang,sân khấu
tim,tím
tim mă,chưa
hơ dang hat hơ soang,sân khấu
tim đum,xanh
ting,sảy
ting hying,bằng nhau
ting hying,xứng đôi
hơnih hat hơ xoang,sân khấu
ting tung,gánh
hơnih hat hơxuang,sân khấu
anih pơm pơdah,sân khấu
hnih hri soang,sân khấu
hơ nih hơn xoang,sân khấu
hơnih,sân khấu
jrah hnam tơ̆r hnam,sàn nhà
akoh hnam kơ jung,sàn nhà
to,chiến
đô,sản phẩm
to,kia kìa
to,kìa
to,kín
đô san phâm,sản phẩm
to,đằng kia
dră kăn rơneh,sản phụ
to angla wơr thŏng,thu thủy
to anguơ̆ hơri,vè
to anhur,bớt
to biêt tơbiat,mếu máo
to bluch kơting,rục xương
to dra kuĕch 'bar,dấu hoặc kép
to dra kuĕch mĭnh,dấu hoặc đơn
rơneh,sản phụ
to păl,cối giã gạo
bơngai vă rơ nĕh,sản phụ
to ̆  dreng,nắng vàng
to ̆ k hnam,lên nhà
to ̆ k hnam hle,về nhà mới
to ̆ k io ̆ k,vay
to ̆ t,xâu
to`,cái
pơ ngai rơ neh,sản phụ
rơneh hơ drai,sản phụ
to`ng,chan
to`ng,đong
to`xẽt,ít
bơ ngai 'nao ơ̆i,sản phụ
ang,sáng
toch,dãn
toch,lẻ
toch,nhỏ
togŭm,giúp
togơ̆,gãy
toh,lót
brang,sáng
toh,nhổ
toh,sôi
toh me ̆,vú mẹ
toi,bị toi
toi,dịch
bơgê,sáng
tok,lên
chrê,sáng
tom,kịp
tom gơgo ̆ nh,lần đầu tiên
tom gơgŏnh,lần đầu tiên
tong,bong bong
tong,chiếc
tong,cái
tong,kìa
tong,nhuộm
tong,đưa
tong tang dŏ,chiếc ghế
tong tơ xi,chiếc lược
chôh,sáng
top,cuốn gói
topă,khắc
chơbrue,sáng
torpăt,léo
dreng,sáng
toxĕr,lướt
tral,thức
tre`ng,cái cần
trem,trĩu quả
gong,sáng
trep,húp
trep,hút
trep iõk pham,hút máu
trep iŏk pham,hút máu
hling,sáng
tro,vồng
tro`,bị
hlơ,sáng
tro`,đúng
tro` jơ hngâm,đồng ý
tro` tơpă,đúng sự thật
hrôih,sáng
leng,sáng
prang,sáng
prê,sáng
trong,câu
pơghê,sáng
pơgê,sáng
rang,sáng
trong,lốì
trong,lộng
trong,ngã
rơđah,sáng
tar,sáng
thêr,sáng
bôh,sáng
ge,sáng
hơdah,sáng
trong,thăm
khơ̆ng,sáng
nar,sáng
trong chem chom,đường hỏm
nghê,sáng
pơge,sáng
đah,sáng
ƀrŭng,sáng
trong kơ long,đường lôi
bơghê,sáng
trong kơ long,đường lỗi
trong kơduing,đường uốn lượn
ghê,sáng
trong rơvơ̆ng,đường vắng vẻ
trong sơlah,ngã
trong tih,đường cái lớn
chôh,sáng bóng
chơchêr,sáng bóng
rang,sáng bóng
dơdrê,sáng chói
kơmlă,sáng chói
trong tơ sĕr,đường trơn
rang agah agơi,sáng chói
drôih,sáng sớm
bơgê sruôih ,sáng sớm
leng gong,sáng sớm
trong tơklah pơđăm pah,ngã năm
bơda,sáng sủa
dơdah,sáng sủa
lơlŭng,sáng sủa
phêng,sáng sủa
tơdah,sáng sủa
truh,tưởng
truh,tốt
truh,đốn
rang liêm,sáng sủa
akoh,sạp
truh hnam trưng,đến trường
truh jing,đến thành công
truh tơ pơlĕi,đến làng
truh tơ pơlẽi,đến làng
trum,nước nhuộm
trôih,giảm
trôih,giặm
trôk,dơ
trôk,lấm
bơxey,sắt
trôl,hoả
mam,sắt
pơsăi,sắt
pơsĕi,sắt
trôm tơ mo,hầm mỏ
trô̆ chơ khŏ,mang giày
trõ,đúng
xetreng,sắt
trăp,ì
trĕng,cái cần
trĕng,nghía
trĕng,ngấm
trĕng,ngắm
trĩn,ạch
kiĕt,sắt
trĭn,ạch
trĭu,con cừu
kơlăm,sắt
trŏ,bị
pơ sĕi,sắt
pơsey,sắt
trŏ jơ hngâm,đồng ý
trŏ tơpă,đúng sự thật
pơsĕi ,sắt
trŭh,đến
pơxĕi,sắt
trơvơ,cao lương
trẽng,cái cần
trẽng,nghía
trẽng,ngắm
trỏ jơ hngâm,đồng ý
trồm,lỗ
'biê̆,sau
tu,thưọng nguồn
anô̆,sau
tu,tù
dang,sau
tu`k,bỏ
tu`k,luôn
tu`l,giả
tu`n,đẩy ra
tu`r,đấm
gah rong,sau
tue ̆ nh,vặn
tue ̆ nh wih,vặn ốc
tue`nh,đau
tuh,làm
hơ nĩ,sau
tuh,đẩy
tuh,đẻ
hơ'nĭ,sau
tuh phu,đổ
klaih,sau
kơdŭ,sau
rŏng,sau
tul,dốt
tum,con kì nhông
rống,sau
tung,khiêng cây
tung,vác
tung,đấm lưng
tung hơiơch,vác
rỡng,sau
đưng kơdŭ,sau
tuènh,vặn
tuăl mã hẽch,giã nát
tuăl mă hĕch,giã nát
tuăn,kinh
tuĕnh,quặn
tuĕnh,vặn
tuĕnh,đau
đưng rĭng,sau
tâm,húc
đưng rŏng,sau
ning,sau
rong,sau
tơrŏng,sau
tê,phi
têl hlêl,lủng lẳng
têng,xiêu
têt,chưng
tê̆,quái
đâng rŏng,sau
tôch,bó
tôch,cùng
tôch,hết
tôch,kết thúc
tôch,luận
đơ̆ng rong,sau
tôch,rất
đơ̆ng rŏng,sau
tôi blôi,lơ lửng
tôk,lộp
tôl,đỏ
tôm,hợp
tôm,đầy
'biễ,sau
tôn,gõ
tông,cướp
tông,dõi
tôt,xâu
tõ hlơ hlẽng,hầm hập
tõk,dâng
tõng,chan
tõxe`t,ít
tõxet,lẻ
tõxẽ,ít
tõxẽ,ít ỏi
tă,nếm
tă ling,toàn là
tăh,xen
tăh kơ nêm,đóng nêm
tăh tơ khŏ,đi
tăk,dịch
tăk,trùng
biễ,sau
tăl,gác
rĭng,sau
đơng,sau
tăm,tức
đơ̆ng,sau
tăng,mặn
tăng,rô
tăng 'boh,mặn
tăng ar,sâu 
tăng boh,mặn
hong,sấu
tăng do` hyủ hyủ,ghế mềm
ya,sấu
tăng dŏ hyŭ hyŭ,ghế mềm
bơdong,sầu
axi,sầu
tăr,cái quay
tăr,có sáng kiến
tăr,khiếp
tăr,tấm
tĕch,đủ
tĕh,đánh
jrŭ,sầu
jơrông ji ,sâu bệnh
đưng rŏng 'nơ̆u,sau đây
tĕm,mày
tĕng,nhanh
tĕnh,cấp
tĕnh,lên
tĕnh tơ ŏu,lại
đưng rơ̆ng 'nơ̆u,sau đây
tĩk,đến gần
đưng rơ̆ng nơ̆u,sau đây
tĩnh,làm toán
tĩnh,tính
tơmunh,sau này
tĭ,kia
tĭh,lớn
tĭk,đến gần
anô̆ ană,sau này
anô̆ kơnh,sau này
tĭng nĭng đei tơlĕi,đàn có giây
tĭnh,làm toán
tĭnh,tính
kơnu,sậy
tĭt,dội
tŏ,bằng
tŏ,chút
đêl rơka,sẹo
tŏ,nung
tŏ,rất
tŏ,sôi
tŏ hlơ hlĕng,hầm hập
tŏ hyĕt,ít
tŏ sĕ,vài
tŏ sĕt,ít
'nhan,sét
tŏk,dâng
brêng,sét
giaih,sét
tŏk,ngòai
tŏk,về
tŏk,đi
glaih,sét
